neighbourhood_id,neighbourhood_name, Oceania origins, Asian origins, North American Aboriginal origins, Other North American origins, Latin; Central and South American origins, European origins, African origins, Caribbean origins
129,Agincourt North,10,"24,305",40,"1,345",470,"3,055",535,"1,445"
128,Agincourt South-Malvern West,0,"17,955",105,"1,190",480,"3,770",625,"1,395"
20,Alderwood,0,"2,055",305,"2,355",315,"9,135",215,350
95,Annex,140,"6,485",475,"5,255",765,"21,055","1,040",750
42,Banbury-Don Mills,20,"12,025",230,"3,230",585,"13,435",990,815
34,Bathurst Manor,0,"5,190",90,"1,630",670,"9,370",600,440
76,Bay Street Corridor,60,"15,040",250,"2,445",720,"9,360","1,135",510
52,Bayview Village,45,"13,845",110,"1,450",585,"6,645",640,570
49,Bayview Woods-Steeles,15,"7,920",110,920,300,"4,255",415,510
39,Bedford Park-Nortown,50,"5,210",100,"4,940",520,"16,150",625,330
112,Beechborough-Greenbrook,0,"1,345",85,620,385,"2,780",730,"1,400"
127,Bendale,25,"17,890",300,"2,915","1,020","8,285","1,100","1,680"
122,Birchcliffe-Cliffside,95,"4,590",625,"5,365",440,"14,840",545,840
24,Black Creek,0,"9,055",220,"1,840","2,100","4,240","3,320","3,445"
69,Blake-Jones,25,"2,020",345,"1,700",180,"4,505",645,475
108,Briar Hill-Belgravia,10,"4,645",135,"1,180","1,185","7,755",565,980
41,Bridle Path-Sunnybrook-York Mills,60,"3,005",40,"1,615",150,"5,965",235,110
57,Broadview North,15,"2,500",180,"1,570",450,"8,025",345,420
30,Brookhaven-Amesbury,25,"4,730",135,"1,555","2,025","6,690","2,440","3,045"
109,Caledonia-Fairbank,0,"1,805",65,965,960,"6,565",330,710
96,Casa Loma,25,"1,480",180,"2,290",325,"8,790",340,245
133,Centennial Scarborough,15,"4,750",250,"2,435",365,"7,495",520,970
75,Church-Yonge Corridor,125,"10,740",635,"4,525","1,150","17,270","1,535",940
120,Clairlea-Birchmount,45,"12,705",445,"4,205",675,"9,420","1,585","1,545"
33,Clanton Park,55,"6,005",115,"2,185",470,"9,220",850,460
123,Cliffcrest,40,"5,305",415,"3,175",510,"8,850",460,945
92,Corso Italia-Davenport,40,"1,820",240,"1,810","1,315","10,930",385,625
66,Danforth,90,"2,235",260,"2,090",170,"6,955",270,265
59,Danforth East York,50,"4,245",420,"3,230",485,"12,095",435,545
47,Don Valley Village,10,"17,955",105,"1,575",720,"7,425","1,000","1,005"
126,Dorset Park,0,"15,965",285,"2,600",695,"5,445","1,060","1,830"
93,Dovercourt-Wallace Emerson-Junction,140,"8,760",650,"5,070","2,205","24,280","1,440","1,600"
26,Downsview-Roding-CFB,0,"11,365",395,"2,640","3,955","15,615","2,120","3,830"
83,Dufferin Grove,30,"2,595",235,"1,870",650,"8,225",475,500
62,East End-Danforth,90,"5,205",610,"4,565",645,"14,325",845,960
9,Edenbridge-Humber Valley,30,"1,885",185,"2,025",825,"11,825",535,525
138,Eglinton East,60,"11,815",325,"2,700",945,"5,100","1,980","2,875"
5,Elms-Old Rexdale,0,"2,485",85,"1,175","1,000","3,270","2,025","1,275"
32,Englemount-Lawrence,10,"6,685",110,"3,195",840,"12,475","1,645","1,315"
11,Eringate-Centennial-West Deane,10,"3,815",265,"2,835",715,"13,055",760,600
13,Etobicoke West Mall,10,"3,560",120,"1,240",455,"6,720",460,600
44,Flemingdon Park,25,"14,665",100,"1,345",545,"4,695","2,055",880
102,Forest Hill North,45,"3,270",125,"1,900",460,"8,720",510,435
101,Forest Hill South,15,"1,880",115,"2,160",205,"8,240",280,250
25,Glenfield-Jane Heights,20,"11,120",155,"1,930","4,025","8,395","3,425","4,815"
65,Greenwood-Coxwell,60,"4,490",365,"3,200",500,"8,520",640,630
140,Guildwood,25,"2,285",140,"1,905",295,"6,635",225,605
53,Henry Farm,20,"10,975",130,890,570,"3,565",835,605
88,High Park North,75,"4,140",455,"3,630",915,"16,455",665,505
87,High Park-Swansea,75,"3,400",450,"4,160",790,"19,030",660,705
134,Highland Creek,10,"7,175",75,"1,180",640,"3,470",515,"1,540"
48,Hillcrest Village,35,"12,030",30,925,320,"4,135",400,435
8,Humber Heights-Westmount,20,"1,145",75,925,600,"7,520",870,525
21,Humber Summit,0,"5,250",20,995,"1,005","4,370",760,"1,320"
22,Humbermede,10,"6,405",90,"1,320","2,020","3,950","1,700","2,065"
106,Humewood-Cedarvale,55,"3,020",240,"2,715",740,"9,810",650,645
125,Ionview,10,"7,790",200,"1,385",510,"3,735",980,"1,135"
14,Islington-City Centre West,60,"11,785",465,"4,920","1,835","26,915","2,385","1,595"
90,Junction Area,45,"3,255",375,"2,415",765,"10,080",405,400
110,Keelesdale-Eglinton West,10,"2,545",140,800,"1,095","6,615",405,960
124,Kennedy Park,0,"9,150",365,"2,120",585,"5,160","1,355","1,415"
78,Kensington-Chinatown,55,"9,140",265,"2,235",475,"6,820",745,695
6,Kingsview Village-The Westway,40,"6,575",145,"1,820","1,200","8,985","4,315","1,780"
15,Kingsway South,10,"1,085",95,"2,090",120,"7,650",120,85
114,Lambton Baby Point,45,980,195,"1,355",350,"6,115",470,565
117,L'Amoreaux,40,"30,785",195,"2,880",790,"8,490","1,990","2,635"
38,Lansing-Westgate,50,"6,815",100,"2,030",395,"8,510",555,355
105,Lawrence Park North,60,"3,325",105,"3,650",250,"10,935",335,260
103,Lawrence Park South,180,"2,510",195,"3,825",245,"11,740",305,295
56,Leaside-Bennington,140,"2,740",305,"4,045",390,"13,150",270,290
84,Little Portugal,70,"3,275",420,"2,590",610,"10,835",640,420
19,Long Branch,20,"1,595",280,"2,270",365,"7,370",265,510
132,Malvern,55,"28,455",335,"3,785","2,115","6,350","3,035","6,985"
29,Maple Leaf,10,"2,915",15,595,730,"5,500",255,685
12,Markland Wood,20,"1,220",85,"1,615",250,"8,760",110,235
130,Milliken,0,"23,750",30,"1,010",270,"1,355",310,950
135,Morningside,50,"9,160",205,"2,355",665,"4,775","1,255","2,280"
73,Moss Park,60,"4,920",435,"3,260",670,"10,135","2,120",945
115,Mount Dennis,20,"3,105",180,"1,490","1,590","4,760","1,955","2,605"
2,Mount Olive-Silverstone-Jamestown,10,"18,675",185,"2,270","1,735","3,955","4,975","4,335"
99,Mount Pleasant East,55,"3,525",320,"3,665",525,"12,560",490,435
104,Mount Pleasant West,95,"8,225",405,"4,610","1,335","18,685","1,250",910
18,New Toronto,45,"2,160",330,"2,275",430,"7,315",820,930
50,Newtonbrook East,0,"11,295",50,855,165,"4,005",180,160
36,Newtonbrook West,15,"14,075",70,"1,270",510,"9,190",415,490
82,Niagara,155,"8,255",500,"5,255","1,550","19,725","1,590","1,365"
68,North Riverdale,90,"2,535",225,"2,475",300,"8,695",225,390
121,Oakridge,25,"7,305",290,"1,660",370,"3,145","1,820",925
107,Oakwood Village,80,"5,020",300,"2,695","1,585","12,695","1,375","2,155"
54,O'Connor-Parkview,35,"4,910",630,"3,545",625,"11,280",885,"1,300"
58,Old East York,15,"2,085",190,"1,720",245,"6,665",130,395
80,Palmerston-Little Italy,70,"2,505",360,"2,680",540,"10,720",315,335
45,Parkwoods-Donalda,65,"14,610",590,"4,525","1,580","15,140","2,600","2,710"
23,Pelmo Park-Humberlea,10,"2,640",105,"1,090",860,"5,965",500,855
67,Playter Estates-Danforth,15,"1,280",145,"1,530",170,"6,190",190,165
46,Pleasant View,30,"9,515",85,"1,100",310,"5,460",550,570
10,Princess-Rosethorn,55,"1,950",80,"1,730",290,"8,565",205,165
72,Regent Park,25,"5,585",240,"1,450",415,"3,015","1,275",505
4,Rexdale-Kipling,10,"2,925",105,"1,310",830,"5,115",790,"1,125"
111,Rockcliffe-Smythe,10,"4,510",400,"2,220","2,635","12,080","1,870","2,150"
86,Roncesvalles,100,"2,870",330,"2,975",505,"10,930",535,585
98,Rosedale-Moore Park,75,"3,485",270,"4,475",515,"16,140",580,355
131,Rouge,50,"28,705",285,"4,885","1,700","10,040","2,270","6,280"
89,Runnymede-Bloor West Village,40,"1,350",210,"2,040",285,"8,370",190,185
28,Rustic,0,"1,575",55,745,785,"4,230","2,160","1,545"
139,Scarborough Village,0,"8,120",330,"1,925",665,"4,575","1,375","2,285"
85,South Parkdale,65,"7,325",655,"2,935",980,"10,710","1,485","1,305"
70,South Riverdale,150,"9,575",830,"5,445",640,"15,485",890,"1,020"
40,St.Andrew-Windfields,25,"8,615",105,"1,800",500,"8,035",590,465
116,Steeles,0,"21,160",30,880,90,"2,285",615,460
16,Stonegate-Queensway,85,"3,845",355,"4,295",670,"19,560",460,655
118,Tam O'Shanter-Sullivan,35,"17,925",225,"2,180",670,"6,655","1,110","1,580"
61,Taylor-Massey,10,"8,435",235,"1,960",460,"4,975","1,185",820
63,The Beaches,125,"2,680",565,"5,405",495,"18,205",410,510
3,Thistletown-Beaumond Heights,0,"4,435",65,880,795,"3,440",920,855
55,Thorncliffe Park,10,"15,040",130,"1,340",385,"4,065","1,180",535
81,Trinity-Bellwoods,85,"4,495",255,"2,530",440,"11,205",250,320
79,University,15,"2,015",135,"1,100",230,"4,395",210,155
43,Victoria Village,0,"7,765",355,"1,955",660,"6,865","1,410","1,380"
77,Waterfront Communities-The Island,235,"24,810",965,"9,470","2,325","36,195","3,435","2,625"
136,West Hill,10,"10,040",755,"4,050","1,640","10,245","2,595","4,375"
1,West Humber-Clairville,20,"18,060",155,"2,450","2,240","6,725","3,180","4,390"
35,Westminster-Branson,10,"11,680",110,"1,685",615,"13,470",810,805
113,Weston,20,"3,120",230,"1,940","1,450","7,575","3,285","3,550"
119,Wexford/Maryvale,40,"12,930",270,"3,830",960,"11,355","1,130","1,615"
51,Willowdale East,55,"36,920",205,"2,500","1,090","11,950","1,545",860
37,Willowdale West,0,"9,770",105,"1,330",340,"6,625",280,215
7,Willowridge-Martingrove-Richview,25,"4,810",130,"2,190","1,150","13,460","1,910","1,415"
137,Woburn,80,"32,850",605,"5,385","1,745","12,855","2,470","4,665"
64,Woodbine Corridor,75,"2,535",425,"3,340",330,"8,855",530,585
60,Woodbine-Lumsden,20,"1,735",270,"1,590",245,"5,275",245,460
94,Wychwood,90,"2,500",335,"2,010",645,"9,685",610,740
100,Yonge-Eglinton,50,"2,895",140,"2,695",370,"8,455",310,280
97,Yonge-St.Clair,80,"2,330",215,"2,525",300,"9,460",370,295
27,York University Heights,20,"12,550",220,"2,045","2,055","8,735","2,450","3,345"
31,Yorkdale-Glen Park,10,"4,090",105,"1,040","1,025","7,820",820,935
